,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,class
TCGA-E7-A5KE,-2.5409153,1.215064,-0.19487983,0.88547194,-2.3546827,0.68796766,1.6198465,2.168718,0.5417888,-0.17047581,1.0337322,-2.152054,-1.0782593,-0.06852317,1.0454489,-0.32580933,1.1323216,-0.014419563,-1.9009913,-1.7290645,0.069601536,-0.40142542,-0.6963537,0.69929713,LumP
TCGA-E7-A5KF,-2.8610382,1.7219489,-0.65577334,1.0587039,-2.778261,-0.1750095,2.0003107,2.0961983,0.96267533,-0.07494372,1.3818156,-3.4784937,-1.6347234,0.39514995,1.0959404,-0.5915637,0.5993853,-0.39987177,-1.939726,-2.4018366,-0.0043171495,-0.59818584,-1.0374006,0.33516407,LumP
TCGA-E7-A677,-3.1788397,1.0579609,-0.38263497,1.2853184,-1.1774603,0.48381108,1.9177159,1.6289064,-0.0635885,-0.11434677,0.3672103,-2.8238533,-0.6074465,1.5118694,1.8339312,-0.35019132,0.7325881,-0.5502858,-0.2526558,-1.7662036,-0.20370214,-1.2133328,0.28135484,0.50542015,LumP
TCGA-E7-A678,-1.3096311,1.2566386,-0.6657006,-0.74091816,-4.256792,-1.372923,2.404645,1.7896396,1.8268654,1.8504837,1.1646736,-2.9434018,-2.3481941,0.94773895,1.7076234,0.20423838,-0.43874168,0.567455,-2.1643367,-3.3933966,0.6490419,0.13304943,-2.9576373,-0.32105106,LumP
TCGA-E7-A6MD,-0.45511547,0.9070539,-0.09855813,0.22254705,-2.082741,-0.3768027,0.89849436,1.1979971,0.5859617,0.7317783,0.55129176,-1.2550945,-1.1602964,-0.4060558,0.7770504,-0.3423761,0.35589245,-0.13684613,-1.0772963,-1.381661,0.43900812,0.51165193,-1.2183822,-0.35920292,Stroma-rich
TCGA-E7-A6ME,-0.6929848,0.61696273,0.020259624,0.1331473,-1.6919341,0.24928221,0.7321968,1.3130782,0.24860737,0.5212754,0.3277524,-0.8660584,-0.9152667,-0.6698545,0.71410114,-0.16436778,0.97573954,0.3471644,-1.2956685,-0.93211293,0.15721002,0.380136,-0.91479194,0.37176412,LumU
TCGA-E7-A6MF,-1.5940223,1.1737866,-0.5958715,0.61894685,-1.5706058,-0.33614162,1.2261884,1.2246524,0.4734081,0.10416606,0.7408954,-2.3102524,-1.1068076,-0.051613748,0.67581075,-0.6860229,0.6026176,-0.23381084,-1.2959379,-1.4165591,-0.17323117,-0.15935871,-0.63077253,0.057127416,LumP
TCGA-E7-A7DU,-0.8608957,1.876105,-0.7036772,-0.5948893,-5.061841,-1.7484025,2.0131726,1.8578404,1.9405856,2.289644,0.8744995,-2.752461,-2.9113796,0.43192524,1.9772463,0.061027378,-0.17318308,0.7224788,-2.4999433,-3.3657894,0.84513474,0.33755225,-3.489384,-0.49105406,LumP
TCGA-E7-A7DV,0.22225812,-0.78976166,0.29983807,-0.45907205,-2.9706488,-0.47461766,2.180902,1.532798,0.14193809,2.9968994,-0.0112307295,-0.78623974,-1.5036011,0.033213764,1.5002476,0.95919025,-0.0043307543,-0.4634138,-0.658362,-2.9253857,2.4835393,1.4644067,-1.5806198,-1.0149984,Ba/Sq
TCGA-E7-A7PW,-1.1922587,0.8282061,-0.52679604,-0.99430996,-3.556334,-0.64074904,2.1525054,1.6378478,1.4409044,1.7693812,0.82568276,-2.452621,-1.8944087,0.77144176,1.5223541,0.37531224,-0.06454417,0.79440165,-1.860717,-2.921044,0.44376576,0.186661,-2.69506,0.13805693,LumP
